ship_date,region,shipments,avg_delivery_days,sla_breaches
2026-06-17,West,35,2.74,3
2026-06-18,East,24,2.55,0
2026-06-18,North,40,2.41,4
2026-06-18,North-West,75,2.68,7
2026-06-18,South,39,2.64,3
2026-06-18,West,39,2.37,3
2026-06-19,East,24,2.65,1
2026-06-19,North,40,2.49,2
2026-06-19,North-West,53,2.58,5
2026-06-19,South,52,2.51,3
2026-06-19,West,26,2.66,0
2026-06-20,East,27,2.52,4
2026-06-20,North,47,2.54,7
2026-06-20,North-West,48,2.57,1
2026-06-20,South,50,2.43,5
2026-06-20,West,42,2.25,3
2026-06-21,East,22,2.5,2
2026-06-21,North,33,2.63,2
2026-06-21,North-West,62,2.59,6
2026-06-21,South,46,2.63,2
2026-06-21,West,37,2.63,3
2026-06-22,East,27,2.8,2
2026-06-22,North,31,2.34,4
2026-06-22,North-West,73,2.56,2
2026-06-22,South,46,2.87,3
2026-06-22,West,36,2.58,3
2026-06-23,East,22,2.83,2
2026-06-23,North,38,2.5,1
2026-06-23,North-West,62,2.59,4
2026-06-23,South,53,2.41,1
2026-06-23,West,41,2.45,2
2026-06-24,East,15,2.62,2
2026-06-24,North,35,2.75,5
2026-06-24,North-West,64,2.6,5
2026-06-24,South,49,2.58,5
2026-06-24,West,46,2.55,3
2026-06-25,East,24,2.67,3
2026-06-25,North,34,2.69,3
2026-06-25,North-West,64,3.57,10
2026-06-25,South,42,2.92,2
2026-06-25,West,37,2.37,3
2026-06-26,East,22,2.63,1
2026-06-26,North,35,2.73,2
2026-06-26,North-West,77,3.47,11
2026-06-26,South,36,2.97,1
2026-06-26,West,37,2.38,6
2026-06-27,East,25,2.87,3
2026-06-27,North,34,2.67,2
2026-06-27,North-West,59,3.46,9
2026-06-27,South,47,2.48,1
2026-06-27,West,44,2.69,5
2026-06-28,East,24,2.47,0
2026-06-28,North,47,2.85,3
2026-06-28,North-West,64,3.69,16
2026-06-28,South,46,2.33,4
2026-06-28,West,49,2.6,3
2026-06-29,East,28,2.58,1
2026-06-29,North,36,2.5,1
2026-06-29,North-West,70,3.63,21
2026-06-29,South,53,2.66,5
2026-06-29,West,38,2.3,3
2026-06-30,East,26,2.52,3
2026-06-30,North,22,2.64,0
2026-06-30,North-West,41,3.41,13
2026-06-30,South,57,2.41,5
2026-06-30,West,42,2.49,3
2026-07-01,East,34,2.61,0
2026-07-01,North,39,2.5,3
2026-07-01,North-West,59,3.75,7
2026-07-01,South,41,2.42,4
2026-07-01,West,40,2.5,0
2026-07-02,East,27,2.7,3
2026-07-02,North,45,2.85,1
2026-07-02,North-West,52,3.5,19
2026-07-02,South,50,2.68,3
2026-07-02,West,44,2.86,3
2026-07-03,East,27,2.61,5
2026-07-03,North,44,2.45,8
2026-07-03,North-West,53,3.4,13
2026-07-03,South,49,2.43,6
2026-07-03,West,32,2.67,2
2026-07-04,East,24,2.67,2
2026-07-04,North,34,2.78,3
2026-07-04,North-West,69,3.53,20
2026-07-04,South,51,2.5,5
2026-07-04,West,39,2.94,5
2026-07-05,East,24,2.51,2
2026-07-05,North,45,2.47,2
2026-07-05,North-West,64,3.54,18
2026-07-05,South,47,2.62,4
2026-07-05,West,45,2.53,5
2026-07-06,East,23,2.6,1
2026-07-06,North,43,2.61,3
2026-07-06,North-West,75,3.53,12
2026-07-06,South,30,2.19,3
2026-07-06,West,32,2.56,3
2026-07-07,East,21,2.78,1
2026-07-07,North,30,2.45,1
2026-07-07,North-West,53,3.67,6
2026-07-07,South,45,2.43,3
2026-07-07,West,42,2.45,5
2026-07-08,East,31,2.71,1
2026-07-08,North,40,2.53,5
2026-07-08,North-West,65,3.54,11
2026-07-08,South,57,2.44,1
2026-07-08,West,45,2.73,5
2026-07-09,East,9,2.56,2
2026-07-09,North,36,2.64,4
2026-07-09,North-West,43,3.36,9
2026-07-09,South,43,2.54,6
2026-07-09,West,50,2.34,6
2026-07-10,East,31,2.7,4
2026-07-10,North,51,2.83,4
2026-07-10,North-West,34,3.63,6
2026-07-10,South,38,2.44,5
2026-07-10,West,36,2.45,4
2026-07-11,East,32,2.67,2
2026-07-11,North,30,2.78,0
2026-07-11,North-West,75,3.54,17
2026-07-11,South,47,2.83,2
2026-07-11,West,34,2.45,4
2026-07-12,East,33,2.61,2
2026-07-12,North,41,2.44,2
2026-07-12,North-West,47,3.32,13
2026-07-12,South,51,2.42,4
2026-07-12,West,36,2.76,3
2026-07-13,East,31,2.52,2
2026-07-13,North,38,2.57,1
2026-07-13,North-West,51,3.34,10
2026-07-13,South,51,2.79,12
2026-07-13,West,32,2.72,1
2026-07-14,East,20,2.75,3
2026-07-14,North,47,2.81,3
2026-07-14,North-West,49,3.22,6
2026-07-14,South,51,2.73,6
2026-07-14,West,38,2.71,2
2026-07-15,East,25,2.78,2
2026-07-15,North,42,2.61,7
2026-07-15,North-West,64,3.53,8
2026-07-15,South,36,2.57,2
2026-07-15,West,40,2.44,2
2026-07-16,East,25,2.67,2
2026-07-16,North,26,2.73,1
2026-07-16,North-West,58,3.35,13
2026-07-16,South,56,2.66,6
2026-07-16,West,35,2.72,6
2026-07-17,East,28,2.81,2
2026-07-17,North,43,2.44,2
2026-07-17,North-West,71,3.16,16
2026-07-17,South,41,2.58,3
2026-07-17,West,36,2.58,4
2026-07-18,East,29,2.87,2
2026-07-18,North,25,2.69,7
2026-07-18,North-West,60,3.4,13
2026-07-18,South,60,2.62,4
2026-07-18,West,52,2.63,2
2026-07-19,East,28,2.64,2
2026-07-19,North,42,2.41,2
2026-07-19,North-West,54,3.37,12
2026-07-19,South,44,2.97,5
2026-07-19,West,38,2.9,0
2026-07-20,East,28,2.52,1
2026-07-20,North,38,2.55,4
2026-07-20,North-West,61,3.4,17
2026-07-20,South,48,2.59,3
2026-07-20,West,40,2.91,4
2026-07-21,East,29,2.44,3
2026-07-21,North,46,2.52,4
2026-07-21,North-West,64,3.57,11
2026-07-21,South,55,2.48,4
2026-07-21,West,43,2.44,4
2026-07-22,East,22,2.18,4
2026-07-22,North,29,2.82,1
2026-07-22,North-West,41,3.7,13
2026-07-22,South,39,2.66,0
2026-07-22,West,28,2.46,1
2026-07-23,East,19,2.5,2
2026-07-23,North,28,2.36,4
2026-07-23,North-West,62,3.42,11
2026-07-23,South,45,2.68,2
2026-07-23,West,31,2.66,5
2026-07-24,East,20,2.59,0
2026-07-24,North,36,2.67,2
2026-07-24,North-West,52,3.59,13
2026-07-24,South,56,2.57,5
2026-07-24,West,33,2.71,1
2026-07-25,East,30,2.59,2
2026-07-25,North,30,2.55,0
2026-07-25,North-West,63,3.33,16
2026-07-25,South,41,2.71,3
2026-07-25,West,33,2.97,1
2026-07-26,East,17,2.66,2
2026-07-26,North,41,2.52,3
2026-07-26,North-West,56,3.85,15
2026-07-26,South,40,2.56,1
2026-07-26,West,41,2.64,3
2026-07-27,East,24,2.46,2
2026-07-27,North,32,2.77,1
2026-07-27,North-West,62,3.53,14
2026-07-27,South,57,2.36,2
2026-07-27,West,36,2.52,2
2026-07-28,East,26,2.41,0
2026-07-28,North,37,2.7,3
2026-07-28,North-West,54,3.69,10
2026-07-28,South,44,2.71,4
2026-07-28,West,39,2.5,5
2026-07-29,East,24,2.84,1
2026-07-29,North,38,2.74,2
2026-07-29,North-West,55,3.34,10
2026-07-29,South,34,2.92,3
2026-07-29,West,51,2.41,4
2026-07-30,East,29,2.71,4
2026-07-30,North,40,2.55,1
2026-07-30,North-West,45,3.54,9
2026-07-30,South,45,2.65,2
2026-07-30,West,42,2.59,5
2026-07-31,East,24,2.45,1
2026-07-31,North,52,2.45,3
2026-07-31,North-West,71,3.54,14
2026-07-31,South,50,2.36,5
2026-07-31,West,37,2.45,2
2026-08-01,East,26,2.62,1
2026-08-01,North,35,2.67,1
2026-08-01,North-West,67,3.4,15
2026-08-01,South,48,2.57,7
2026-08-01,West,29,2.71,2
2026-08-02,East,19,2.76,1
2026-08-02,North,46,2.53,2
2026-08-02,North-West,51,3.53,17
2026-08-02,South,47,2.62,7
2026-08-02,West,37,2.43,2
2026-08-03,East,26,2.57,3
2026-08-03,North,39,2.64,3
2026-08-03,North-West,57,3.37,11
2026-08-03,South,53,2.51,2
2026-08-03,West,42,2.89,3
2026-08-04,East,33,2.72,5
2026-08-04,North,39,2.47,1
2026-08-04,North-West,67,3.64,18
2026-08-04,South,33,2.75,4
2026-08-04,West,33,2.59,1
2026-08-05,East,24,2.64,1
2026-08-05,North,37,2.63,0
2026-08-05,North-West,53,3.65,5
2026-08-05,South,42,2.54,1
2026-08-05,West,39,2.49,8
2026-08-06,East,25,2.5,3
2026-08-06,North,29,2.69,1
2026-08-06,North-West,60,3.47,7
2026-08-06,South,41,2.56,2
2026-08-06,West,45,2.48,8
2026-08-07,East,32,2.61,1
2026-08-07,North,35,2.54,3
2026-08-07,North-West,57,3.61,9
2026-08-07,South,61,2.63,7
2026-08-07,West,49,2.54,4
2026-08-08,East,18,2.42,3
2026-08-08,North,33,2.52,6
2026-08-08,North-West,58,3.52,5
2026-08-08,South,48,2.85,3
2026-08-08,West,46,2.4,4
2026-08-09,East,18,2.56,0
2026-08-09,North,21,2.77,2
2026-08-09,North-West,71,3.26,17
2026-08-09,South,50,2.44,1
2026-08-09,West,52,2.59,2
2026-08-10,East,32,2.54,5
2026-08-10,North,51,2.5,6
2026-08-10,North-West,66,3.28,16
2026-08-10,South,54,2.72,4
2026-08-10,West,41,2.78,3
2026-08-11,East,38,2.45,3
2026-08-11,North,35,2.74,2
2026-08-11,North-West,66,3.5,16
2026-08-11,South,50,2.37,3
2026-08-11,West,45,2.54,2
2026-08-12,East,31,2.38,4
2026-08-12,North,37,2.78,3
2026-08-12,North-West,54,3.37,13
2026-08-12,South,50,2.69,3
2026-08-12,West,35,2.68,1
2026-08-13,East,20,2.64,3
2026-08-13,North,46,2.4,6
2026-08-13,North-West,53,3.45,9
2026-08-13,South,39,2.74,4
2026-08-13,West,33,2.7,4
2026-08-14,East,22,2.65,1
2026-08-14,North,30,2.47,2
2026-08-14,North-West,69,3.26,15
2026-08-14,South,41,2.64,4
2026-08-14,West,44,2.44,4
2026-08-15,East,30,2.88,1
2026-08-15,North,39,2.49,3
2026-08-15,North-West,44,3.76,3
2026-08-15,South,38,2.33,3
2026-08-15,West,46,2.41,5
2026-08-16,East,26,2.58,0
2026-08-16,North,27,2.62,5
2026-08-16,North-West,50,3.44,2
2026-08-16,South,54,2.45,6
2026-08-16,West,27,2.64,2
2026-08-17,East,28,2.44,4
2026-08-17,North,36,2.46,2
2026-08-17,North-West,63,3.52,12
2026-08-17,South,39,2.46,3
2026-08-17,West,49,2.54,5
2026-08-18,East,23,2.74,1
2026-08-18,North,32,2.86,4
2026-08-18,North-West,60,3.42,12
2026-08-18,South,40,2.85,2
2026-08-18,West,35,2.52,6
2026-08-19,East,27,2.31,1
2026-08-19,North,39,2.74,3
2026-08-19,North-West,63,3.38,15
2026-08-19,South,56,2.72,5
2026-08-19,West,33,2.62,5
2026-08-20,East,21,2.54,1
2026-08-20,North,28,2.67,1
2026-08-20,North-West,63,3.3,12
2026-08-20,South,39,2.72,4
2026-08-20,West,43,2.41,5
2026-08-21,East,25,2.36,1
2026-08-21,North,33,2.59,2
2026-08-21,North-West,57,3.79,9
2026-08-21,South,52,2.58,4
2026-08-21,West,40,2.75,1
2026-08-22,East,33,2.71,4
2026-08-22,North,34,2.66,3
2026-08-22,North-West,54,3.68,10
2026-08-22,South,50,2.48,3
2026-08-22,West,47,2.7,3
2026-08-23,East,28,2.68,3
2026-08-23,North,39,2.71,7
2026-08-23,North-West,73,3.6,14
2026-08-23,South,41,2.6,9
2026-08-23,West,30,2.49,0
2026-08-24,East,28,2.34,0
2026-08-24,North,33,2.72,3
2026-08-24,North-West,55,3.39,7
2026-08-24,South,47,2.93,2
2026-08-24,West,37,2.88,4
2026-08-25,East,33,2.77,3
2026-08-25,North,34,2.83,3
2026-08-25,North-West,47,3.67,10
2026-08-25,South,49,2.74,3
2026-08-25,West,33,2.85,1
